DATASET_YR,REPRJ_ID,INUN_ID,EN_SYS_N,EN_FRSH_FT_MEN_N,EN_FRSH_FT_WMN_N,EN_FRSH_PT_MEN_N,EN_FRSH_PT_WMN_N,EN_OTH_1ST_FT_MEN_N,EN_OTH_1ST_FT_WMN_N,EN_OTH_1ST_PT_MEN_N,EN_OTH_1ST_PT_WMN_N,EN_DEG_FT_MEN_N,EN_DEG_FT_WMN_N,EN_DEG_PT_MEN_N,EN_DEG_PT_WMN_N,EN_CRDT_FT_MEN_N,EN_CRDT_FT_WMN_N,EN_CRDT_PT_MEN_N,EN_CRDT_PT_WMN_N,GRS_BACH_INIT_N,GRS_BACH_EXCLUDE_N,GRS_BACH_ADJUST_N,GRS_4YR_N,GRS_5YR_N,GRS_6YR_N,GRS_BACH_TOT_N,GRS_BACH_TOT_P,GRS_ASSOC_INIT_N,GRS_ASSOC_EXCLUDE_N,GRS_ASSOC_ADJUST_N,GRS_2YR_LESS_N,GRS_2YR_LESS_150_N,GRS_2YR_MORE_N,GRS_2YR_MORE_150_N,GRS_TFER_TOT_N,GRS_TFER_2YR_N,GRS_TFER_4YR_N,FRSH_GPA_SUBMIT_P,EN_TFER_N,EN_UG_FT_MEN_N,EN_UG_FT_WMN_N,EN_UG_PT_MEN_N,EN_UG_PT_WMN_N,EN_FP_FT_MEN_N,EN_FP_FT_WMN_N,EN_FP_PT_MEN_N,EN_FP_PT_WMN_N,EN_GRAD_FT_MEN_N,EN_GRAD_FT_WMN_N,EN_GRAD_PT_MEN,EN_GRAD_PT_WMN_N,EN_TOT_FT_MEN_N,EN_TOT_FT_WMN_N,EN_TOT_PT_MEN_N,EN_TOT_PT_WMN_N,EN_TOT_UG_N,EN_TOT_N,EN_ALIEN_N,EN_BLACK_N,EN_NATIVE_N,EN_ASIAN_N,EN_HISPANIC_N,EN_WHITE_N,EN_UNKNOWN_N,EN_ETHNIC_TOT_N,EN_OLD_P,EN_NRES_P,UG_STATE_N,UG_COUNTRY_N,FRSH_HS_RANK_SUBMIT_P,FRSH_HS_RANK_50_P,FRSH_HS_RANK_25_P,FRSH_HS_RANK_10_P,FRSH_GPA,FULBRIGHT_N,MARSHALL_N,RHODES_N,FRSH_WSTNGHOUSE_N,FRSH_NAT_MERIT_N,FRSH_PRES_N,FRSH_VALED_N,FRSH_STUD_GOVT_N,RETENTION_FRSH_P,ASSOC_TO_4YR_P,BACH_TO_GRAD_P,BACH_TO_GRAD_BUS_P,BACH_TO_GRAD_ENG_P,BACH_TO_GRAD_LAW_P,BACH_TO_GRAD_THEO_P,BACH_TO_GRAD_DENT_P,BACH_TO_GRAD_ART_SCI_P,BACH_TO_GRAD_MED_P,BACH_TO_GRAD_VET_P,BACH_TO_GRAD_EDU_P,BACH_TO_GRAD_OTH_P,CERTIF_DIPLOMA_N,DEG_ASSOC_N,DEG_BACH_N,CERTIF_POST_BACH_N,DEG_MASTER_N,CERTIF_POST_MASTER_N,DEG_DOCTOR_N,DEG_FP_N,CERTIF_FP_N,EN_AGE_UP_21_P,EN_AGE_22_24_P,EN_AGE_25_29_P,EN_AGE_30_45_P,EN_AGE_46_UP_P,ACAD_YR,ACAD_YR_OUTCOME,GRS_COHORT_YR,RETENTION_COHORT_YR,DEG_DOCTOR_OTH_N,DEG_DOCTOR_PROF_N,DEG_DOCTOR_RESEARCH_N,EN_GRAD_ALL_FT_MEN_N,EN_GRAD_ALL_FT_WMN_N,EN_GRAD_ALL_PT_MEN_N,EN_GRAD_ALL_PT_WMN_N,EN_NONRES_ALIEN_N,EN_HISPANIC_ETHNICITY_N,EN_BLACK_NONHISPANIC_N,EN_WHITE_NONHISPANIC_N,EN_NATIVE_NONHISPANIC_N,EN_ASIAN_NONHISPANIC_N,EN_ISLANDER_NONHISPANIC_N,EN_MULTIRACE_NONHISPANIC_N,EN_RACE_ETHNICITY_UNKNOWN_N,EN_RACE_ETHNICITY_TOT_N,FRSH_GPA_WEIGHTED,GRS_BACH_INIT_PELL_N,GRS_BACH_EXCLUDE_PELL_N,GRS_BACH_ADJUST_PELL_N,GRS_4YR_PELL_N,GRS_5YR_PELL_N,GRS_6YR_PELL_N,GRS_BACH_PELL_N,GRS_BACH_PELL_P,GRS_BACH_INIT_STAFFORD_N,GRS_BACH_EXCLUDE_STAFFORD_N,GRS_BACH_ADJUST_STAFFORD_N,GRS_4YR_STAFFORD_N,GRS_5YR_STAFFORD_N,GRS_6YR_STAFFORD_N,GRS_BACH_STAFFORD_N,GRS_BACH_STAFFORD_P,GRS_BACH_INIT_NO_AID_N,GRS_BACH_EXCLUDE_NO_AID_N,GRS_BACH_ADJUST_NO_AID_N,GRS_4YR_NO_AID_N,GRS_5YR_NO_AID_N,GRS_6YR_NO_AID_N,GRS_BACH_TOT_NO_AID_N,GRS_BACH_TOT_NO_AID_P,EN_FRSH_GPA_1_P,EN_FRSH_GPA_2_P,EN_FRSH_GPA_3_P,EN_FRSH_GPA_4_P,EN_FRSH_GPA_5_P,EN_FRSH_GPA_6_P,EN_FRSH_GPA_7_P,EN_FRSH_GPA_8_P,EN_FRSH_GPA_9_P,AD_TFER_MEN_N,AD_TFER_N,AD_TFER_WMN_N,AP_TFER_MEN_N,AP_TFER_N,AP_TFER_WMN_N,CLASS_SEC_1,CLASS_SEC_2,CLASS_SEC_3,CLASS_SEC_4,CLASS_SEC_5,CLASS_SEC_6,CLASS_SEC_7,CLASS_SEC_TOT,CLASS_SUBSEC_1,CLASS_SUBSEC_2,CLASS_SUBSEC_3,CLASS_SUBSEC_4,CLASS_SUBSEC_5,CLASS_SUBSEC_6,CLASS_SUBSEC_7,CLASS_SUBSEC_TOT,EN_1ST_ASIAN_NONHISPANIC_N,EN_1ST_BLACK_NONHISPANIC_N,EN_1ST_HISPANIC_ETHNICITY_N,EN_1ST_ISLANDER_NONHISPANIC_N,EN_1ST_MULTIRACE_NONHISPANIC_N,EN_1ST_NATIVE_NONHISPANIC_N,EN_1ST_NONRES_ALIEN_1ST_N,EN_1ST_NRES_P,EN_1ST_OLD_ALL,EN_1ST_OLD_FT,EN_1ST_OLD_P,EN_1ST_RACE_ETHNICITY_TOT_N,EN_1ST_RACE_ETHNICITY_UNKNWN_N,EN_1ST_WHITE_NONHISPANIC_N,EN_GRAD_CRDT_FT_MEN_N,EN_GRAD_CRDT_FT_WMN_N,EN_GRAD_CRDT_PT_MEN_N,EN_GRAD_CRDT_PT_WMN_N,EN_GRAD_DEG_FT_MEN_N,EN_GRAD_DEG_FT_WMN_N,EN_GRAD_DEG_PT_MEN_N,EN_GRAD_DEG_PT_WMN_N,EN_GRAD_OTH_FT_MEN_N,EN_GRAD_OTH_FT_WMN_N,EN_GRAD_OTH_PT_MEN_N,EN_GRAD_OTH_PT_WMN_N,EN_TOT_GRAD_N,EN_OLD_ALL,EN_OLD_FT
2023,12,5000,,330,564,,,57,60,,,776,1268,36,50,,,24,24,993,,993,489,102,10,601,61,,,,,,,,,,,98.7,118,1163,1892,60,74,,,,,63,331,461,1013,1226,2223,521,1087,3189,5057,116,321,34,48,293,2913,62,3787,1,,51,42,63,83.6,54.3,24.2,3.56,,,,,2,2,12,,79,,,,,,,,,,,,,,3,683,31,367,,,,,,,,,,,2016,,,7,23,49,63,331,461,1013,125,564,212,1998,17,61,,145,19,3141,,251,0,251,93,22,0,115,46,266,0,266,130,25,6,161,61,476,0,476,266,55,4,325,68,21,23,21.2,11.6,13.2,8.8,1.2,0,0,123,287,164,242,630,388,89,168,154,71,56,21,4,563,43,54,36,9,7,,,149,19,54,177,,39,5,28,14,20,20,,894,9,563,,,,4,29,133,98,222,34,198,363,787,1868,23,20
2023,12,5001,,,,,,,,,,34,24,36,92,,,,,,,,,,,,,,,,,,,,,,,,,34,24,36,92,,,,,139,331,120,327,173,355,156,419,186,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,331,120,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,,
2023,12,5002,,498,549,22,48,676,625,233,416,69,56,17,81,2,,5,30,,,,,,,,,,,,,,,,,,,88.98,610,1245,1230,277,575,,,,,,,,,1245,1230,277,575,3327,3327,,,,,,,,,17.8,2.2,17,11,70.73,42.88,22.83,7.88,2.85,,,,,,,,,67,,,,,,,,,,,,,2,398,84,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5003,,153,22,8,,107,11,9,2,565,91,190,17,,,,,79,,79,28,7,9,44,55.7,,,,,,,,,,,92,133,825,124,207,19,,,,,3,2,3,4,828,126,210,23,1175,1187,,,,,,,,,26.81,9.11,17,12,,,,,2.72,,,,,,,,,79.37,,10,,,,,,,,,,,3,162,123,,,,,,,,,,,,,2016,,,,,,3,2,3,4,44,373,192,193,8,176,12,28,149,1175,,38,0,38,13,5,6,24,63.16,19,0,19,7,2,1,10,52.63,22,0,22,8,0,2,10,45.45,9,0,11,14,16,12,24,14,0,145,232,21,157,318,24,174,86,46,19,4,,,329,52,43,50,1,,,,146,19,35,59,2,5,1,4,10.06,19,19,3.83,183,24,34,,,,,,,,,3,2,3,4,12,23,23
2023,12,5004,,64,99,76,115,104,103,84,130,974,1094,616,1026,3,6,25,36,,,,,,,,,,,,,,,,,,,,516,1145,1302,801,1307,,,,,447,704,311,806,1592,2006,1112,2113,4555,6823,,,,,,,,,42,56,50,90,,,,,,,,,,,,,,69,,,,,,,,,,,,,3,81,678,,753,,,,,,,,,,,2015,,,,,,447,704,311,806,776,779,481,1007,19,278,24,231,890,4485,,,0,,,,,,,,0,,,,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,329,940,607,329,940,607,117,235,34,1,,,,387,,,,,,,,,21,59,114,,32,1,33,60,21,19,9,354,7,87,1,1,8,27,99,177,27,85,347,526,276,694,2268,26,25
2023,12,5007,,34,41,2,,12,14,1,,77,74,7,6,,,,,57,,57,24,4,,28,49,,,,,,,,,,,100,29,123,129,10,6,,,,,1,4,,3,124,133,10,9,268,276,,,,,,,,,,,,,,,,,3.2,,,,,,,,,69,,,,,,,,,,,,,,,45,1,12,,,,,,,,,,,2016,,,,,,1,4,,3,,1,43,157,,11,4,7,45,268,,25,0,25,9,2,0,11,44,12,0,12,8,0,0,8,67,20,0,20,7,2,0,9,45,11,12,19,6,21,21,10,0,0,19,43,24,25,55,30,32,31,12,1,,,,76,2,7,,,,,,9,4,10,,,2,,,99,19,,,77,15,46,,,,,1,4,,1,,,,2,8,,
2023,12,5008,,335,481,8,6,59,44,1,3,950,1269,30,36,23,34,21,48,,,,,,,,,,,,,,,,,,,,266,1367,1828,60,93,,,,,76,189,97,212,1443,2017,157,305,3348,3922,,,,,,,,,7,47,12,50,,,,,,,,,,,,,,75.6,,,,,,,,,,,,,62,,771,24,169,,,,,,,,,,,2012,,,,10,,76,189,97,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,,
2023,12,5009,,169,128,7,1,80,51,15,9,334,293,135,81,7,12,149,181,358,1,357,77,38,4,119,33.33,,,,,,,,,,,95.64,144,590,484,306,272,,,,,147,532,221,362,737,1016,527,634,1661,2927,,,,,,,,,25,45,,,40.31,64,28,9,3.14,,,,,,,,,54,,,,,,,,,,,,,,221,303,,452,,,,,,,,,,,2014,,,,7,,131,480,241,404,35,483,113,483,20,13,9,58,93,1307,,194,1,193,38,28,2,68,35.23,61,0,61,10,5,1,16,26.23,103,0,103,29,5,1,35,33.98,12.38,8.14,14.01,14.66,11.07,21.5,12.05,6.19,0,208,292,84,208,292,84,71,83,59,31,5,3,,252,,,,,,,,,3,20,120,1,12,6,10,39,20,19,6,306,38,96,,1,11,17,63,184,67,70,84,347,143,275,1266,25,22
2023,12,5010,,405,737,1,3,83,139,11,14,1043,2362,68,138,8,3,18,22,1211,1,1210,705,94,18,817,68,,,,,,,,,,,99,247,1539,3241,98,177,,,,,279,824,259,835,1818,4065,357,1012,5055,7252,,,,,,,,,6,7,45,62,22,80,46,14,3.73,,,,,,,,,85,,31,,,,,,,,,,,10,33,1246,12,914,163,,,,,,,,,,2016,,,,11,29,279,824,259,835,264,1020,440,2199,24,651,5,157,244,5004,X,457,1,456,227,40,8,275,60,257,0,257,148,19,1,168,65,497,0,497,330,35,9,374,75,34,18,19,13,8,7,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197,,
2023,12,5011,,294,301,26,50,,,1,4,307,402,165,427,28,17,302,370,,,,,,,,,784,,784,,,,229,144,73,,87,129,629,720,494,851,,,,,,,,,629,720,494,851,2694,2694,,,,,,,,,21,1,16,7,,,,,,,,,,,,,,52,50,,,,,,,,,,,,18,526,,,,,,,,,,,,,,2018,,,,,,,,,,20,101,102,1656,3,21,2,68,4,1977,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
