DATASET_YR,REPRJ_ID,INUN_ID,ADMS,COUNSEL,SAT1_VERB_200_P,SAT1_VERB_300_P,SAT1_VERB_400_P,SAT1_VERB_500_P,SAT1_VERB_600_P,SAT1_VERB_700_P,SAT1_MATH_200_P,SAT1_MATH_300_P,SAT1_MATH_400_P,SAT1_MATH_500_P,SAT1_MATH_600_P,SAT1_MATH_700_P,SAT1_COMP_400_P,SAT1_COMP_600_P,SAT1_COMP_800_P,SAT1_COMP_1000_P,SAT1_COMP_1200_P,SAT1_COMP_1400_P,SAT1_COMP_MEAN,SAT1_COMP_25TH_P,SAT1_COMP_75TH_P,ACT_1_P,ACT_2_P,ACT_3_P,ACT_4_P,ACT_5_P,ACT_6_P,SAT1_VERB_MEAN,SAT1_MATH_MEAN,ACT_MEAN,SAT1_VERB_670_800_P,SAT1_MATH_600_800_P,SUBMIT_P,SUBMIT_SAT1_P,SUBMIT_ACT_P,PLACE_ONLY,ADMS_PLACE,ADMS_COUNSEL,SAT1_VERB_25TH_P,SAT1_VERB_75TH_P,SAT1_MATH_25TH_P,SAT1_MATH_75TH_P,ACT_COMP_25TH_P,ACT_COMP_75TH_P,ACT_WRITING,SAT_NEW,SAT1_WRITING_200_P,SAT1_WRITING_300_P,SAT1_WRITING_400_P,SAT1_WRITING_500_P,SAT1_WRITING_600_P,SAT1_WRITING_700_P,SAT1_WRITING_25TH_P,SAT1_WRITING_75TH_P,SAT1_WRITING_MEAN,ESSAY_ADMIS_ACT,ESSAY_ADMIS_SAT,ESSAY_ADVISING_ACT,ESSAY_ADVISING_SAT,ESSAY_AP_SUBST_ACT,ESSAY_AP_SUBST_SAT,ESSAY_AP_VALID_ACT,ESSAY_AP_VALID_SAT,ESSAY_NO_ACT,ESSAY_NO_SAT,ESSAY_NO_POLICY_ACT,ESSAY_NO_POLICY_SAT,ESSAY_PLACE_ACT,ESSAY_PLACE_SAT,ADMS_OPTIONAL,SAT_ESSAY,ACT_ENG_1_P,ACT_ENG_2_P,ACT_ENG_3_P,ACT_ENG_4_P,ACT_ENG_5_P,ACT_ENG_6_P,ACT_MATH_1_P,ACT_MATH_2_P,ACT_MATH_3_P,ACT_MATH_4_P,ACT_MATH_5_P,ACT_MATH_6_P,ACT_MATH_MEAN,ACT_ENG_MEAN,ACT_MATH_25TH_P,ACT_MATH_75TH_P,ACT_ENG_25TH_P,ACT_ENG_75TH_P,ACT_PLACE,ACT_WRITING_25TH_P,ACT_WRITING_75TH_P,AP_PLACE,CLEP_PLACE,INST_PLACE,SAT1_PLACE,SAT2_PLACE,STATE_PLACE_T,SUBMIT_ACT_N,SUBMIT_SAT1_N,ACT_SCIENCE_25TH_P,ACT_READING_25TH_P,SAT1_COMP_50TH_P,SAT1_VERB_50TH_P,SAT1_MATH_50TH_P,ACT_COMP_50TH_P,ACT_MATH_50TH_P,ACT_ENG_50TH_P,ACT_WRITING_50TH_P,ACT_SCIENCE_50TH_P,ACT_READING_50TH_P,ACT_SCIENCE_75TH_P,ACT_READING_75TH_P,ACT_READING_1_P,ACT_READING_2_P,ACT_READING_3_P,ACT_READING_4_P,ACT_READING_5_P,ACT_READING_6_P,ACT_SCIENCE_1_P,ACT_SCIENCE_2_P,ACT_SCIENCE_3_P,ACT_SCIENCE_4_P,ACT_SCIENCE_5_P,ACT_SCIENCE_6_P
2023,12,5000,Y,,0.2,0.4,16.7,40.4,33.6,8.7,,1.7,18.2,46.6,28.9,4.6,,0.7,18.6,46.4,29.3,5,1157,1070,1280,,,9.8,42,35.1,13.1,585,572,25,,,97,49,30,,,,540,650,530,630,21,28,,SRS1,,,,,,,,,,,,,,,,,,,,,,,,X,,,0.9,15.2,35.7,28.3,19.9,,,21.4,36.6,36,6,24,25,19,27,21,29,X,,,X,X,X,X,,,272,435,21,21,1160,590,570,24,24,24,,23,25,26,31,,0.6,11,31.8,26.2,30.4,,1.2,8,43.2,36.9,10.7
2023,12,5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5002,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,52,18,,,,,,,,,,ACTB,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5003,Y,,,8,34,40,14,4,,10,18,56,14,2,10,20,20,56,12,2,,836,1105,,,,,100,,545,553,24,,,24,96.15,3.85,,,,413,548,419,562,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,,,2,50,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5007,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,34,2,,,,490,640,490,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,,,,567,551,,,,,,,,,,,,,,,,,,,,
2023,12,5008,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5009,N,,,5.45,38.18,49.09,7.27,,,7.27,34.55,40,14.55,3.64,,9.09,38.18,41.82,9.09,1.82,,,,,,28.57,28.57,35.71,7.14,,,,,,100,17,9,,,,460,555,455,570,16.5,26,ACTB,,,,,,,,,,,,,,,,,,,,,X,X,,,X,SATB,,7.14,25,39.29,17.86,10.71,,,32.14,35.71,21.43,10.71,,,16.75,26,16,25,X,,,,,,X,,,28,55,18.5,15.5,,520,520,22.5,21,,,22,23.5,25,30,,3.6,28.6,17.9,21.4,28.6,,10.7,14.3,32.1,39.3,3.57
2023,12,5010,Y,,,1,6,37,46,10,,1,6,37,41,15,,1,5,37,46,11,1213,1120,1310,,,9,22,49,20,604,609,26,,,77.8,34,5,,,,560,650,550,660,22,29,,SR,,,,,,,,,,,,,,,,,,,,,,,,X,,,2,11,25,36,26,,,13,22,53,12,25,28,21,27,21,30,,,,,,,,,,,,22,23,1220,610,610,26,25,25,,25,30,29,33,,2,7,20,16,55,,2,7,29,44,18
2023,12,5011,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,12,5012,Y,,,2,27,59,12,,,6,27,55,10,2,,3,29,52,16,,,,,,,14,50,31,5,532,520,22,,,100,21,7,,,,480,580,460,570,19,25,ACTB,SRS1,,,,,,,,,,,,,,,,,,X,X,,,,,X,SATB,,2,20,49,22,7,,,27,32,39,2,,,17,26,18,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
